year,Title,author,journal
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(4):NP24.
doi: 10.1177/03635465221074949.",Arthroscopic Versus Open Anterior Shoulder Stabilization: Letter to the Editor,Nicholas G H Mohtadi,am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Nov 23;3635465221128909.
doi: 10.1177/03635465221128909.
Online ahead of print.",Rates of Reporting and Analyzing Patient Sex in Sports Medicine Research: A Systematic Review,"John Hayden Sonnier , Ryan W Paul , Anya T Hall , Emma E Johnson , Gregory Connors , Kevin B Freedman , Meghan E Bishop",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jun;50(7):1823-1831.
doi: 10.1177/03635465221092118.
Epub 2022 May 5.",Medial Collateral Ligament Reconstruction for Anteromedial Instability of the Knee: A Biomechanical Study In Vitro,"Nobuaki Miyaji , Sander R Holthof , Simon V Ball , Andy Williams , Andrew A Amis",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Jul;50(8):2093-2101.
doi: 10.1177/03635465221096464.
Epub 2022 May 23.",The Control of Anteromedial Rotatory Instability Is Improved With Combined Flat sMCL and Anteromedial Reconstruction,"Peter Behrendt , Elmar Herbst , James R Robinson , Leslie von Negenborn , Michael J Raschke , Jens Wermers , Johannes Glasbrenner , Christian Fink , Mirco Herbort , Christoph Kittl",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Jan;51(1):160-168.
doi: 10.1177/03635465221135759.
Epub 2022 Nov 22.",Natural History of Degenerative Hip Abductor Tendon Lesions,"Pascal Schenk , Dimitris Dimitriou , Stefan Rahm , Stefan M Zimmermann , Michael Finsterwald , Kai Higashigaito , Reto Sutter , Patrick O Zingg",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2023 Apr;51(5):1347-1355.
doi: 10.1177/03635465211061606.
Epub 2021 Dec 14.",The Biological Use of Platelet-Rich Plasma in Skeletal Muscle Injury and Repair,"Jordan Boivin , Rachael Tolsma , Peter Awad , Keith Kenter , Yong Li",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Dec;50(14):3956-3962.
doi: 10.1177/03635465221129874.
Epub 2022 Nov 9.",Distal Biceps Tendon Ruptures: Diagnostic Strategy Through Physical Examination,"Elisa L Zwerus , Derek F P van Deurzen , Michel P J van den Bekerom , Bertram The , Denise Eygendaal",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(4):1006-1012.
doi: 10.1177/03635465221074021.
Epub 2022 Feb 11.",Performance and Return to Sports After Meniscectomy in Professional Baseball Players,"Brandon J Erickson , Peter N Chalmers , John D'Angelo , Kevin Ma , Dana Rowe , Michael G Ciccotti , Jeffrey R Dugas",am j sports med
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Nov;50(13):NP55-NP56.
doi: 10.1177/03635465221120666.",Factors Associated With an Intra-articular Infection After Anterior Cruciate Ligament Reconstruction: Response,"Niv Marom, Joseph T Nguyen, Milan Kapadia, Brittany Ammerman, Isabel Wolfe, Kristin C Halvorsen, Andy O Miller, Michael W Henry, Barry D Brause, Jo A Hannafin, Robert G Marx, Anil S Ranawat",am j sports med
"Comment
Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Oct;50(12):NP53-NP54.
doi: 10.1177/03635465221113587.",Comparative Outcomes After Superficial Medial Collateral Ligament Augmented Repair vs Reconstruction: Response,"Robert F LaPrade, Lars Engebretsen, Martin Lind",am j sports med
"Am J Sports Med
Actions
Search in PubMed
Search in NLM Catalog
Add to Search
. 2022 Mar;50(4):1028-1038.
doi: 10.1177/03635465221077002.
Epub 2022 Mar 7.",Pathologic Findings on Hip Arthroscopy in High-Level Athletes Competing in Flexibility Sports,"Benjamin R Saks , Peter F Monahan , David R Maldonado , Andrew E Jimenez , Hari K Ankem , Payam W Sabetian , Ajay C Lall , Benjamin G Domb",am j sports med
